string_id 	canonical_form_id 	string name 	label 	source
9939663 	4179527 	Abessebdella 	good 	0.txt
11499231 	185652 	Abraxas intervacuata 	good 	0.txt
9816690 	4072375 	Abraxides 	good 	0.txt
10084070 	1911137 	Abutilon pauciflorum A. St.-Hil. 	good 	0.txt
11368808 	55940 	Acacia complanata 	good 	0.txt
10068202 	2177070 	Acalypha kraussiana Buchinger, 1845 	good 	0.txt
8568796 	3136640 	Acanthocoleus javanicus 	good 	0.txt
9977479 	4201706 	Acanthodesmia corona 	good 	0.txt
1360191 	1357972 	Acaulospora delicata C. Walker, C.M. Pfeiff. & Bloss 1986 	good 	0.txt
8307360 	2355896 	Achlya ornata 	good 	0.txt
9781290 	4044868 	Achora tuberculatus Carter HJ 1914 	good 	0.txt
8947363 	419656 	Acinetobacter sp. Hotans4 	bad 	0.txt
119832710 	419656 	Acinetobacter sp. Ib16 	bad 	0.txt
8311164 	2160991 	Acostaea costaricensis 	good 	0.txt
8646912 	120126 	Acraea peneleos 	good 	0.txt
11369120 	1364871 	Acrocalymma medicaginis 	good 	0.txt
11498762 	1011922 	Acrocercops viatica 	good 	0.txt
9260583 	3684372 	Acrotheca lunzinensis Svilv. 1941 	good 	0.txt
8670475 	3007215 	Actinomycetales bacterium TLI089 	good 	0.txt
9784150 	4047572 	Adesmia (Adesmia) servillei 	good 	0.txt
11460423 	1242259 	Aechmea bambusoides 	good 	0.txt
9492986 	3861391 	Aecidium impatientis Schwein. 1834 	good 	0.txt
9144034 	3601589 	Aecidium mariae-wilsoniae Peck 1872 	good 	0.txt
121695909 	10558565 	Afronomia speciosana (Strand, 1913) 	good 	0.txt
9202632 	2308387 	Agaricus glutinosus Bull. 1786 	good 	0.txt
9201181 	3642223 	Agaricus lalage Berk. 	good 	0.txt
1479104 	1476844 	Agathomyia perplexa Johnson, 1916 	good 	0.txt
8777099 	734883 	Aglaeactis pamela 	good 	0.txt
9868526 	633432 	Agrionoptera insignis Rambur 1842 	good 	0.txt
9062139 	405567 	Agromyces sp. LC344 	bad 	0.txt
11470993 	1414124 	Alburnus danubicus 	good 	0.txt
9142422 	3600184 	Aleurina marchica (Rehm) Sacc. & P. Syd. 1902 	good 	0.txt
121686991 	8350093 	Allodape sauteriella Cockerell, 1916 	good 	0.txt
10066684 	1274746 	Alnus jorullensis jorullensis Trin., 1891 	good 	0.txt
452586 	452528 	Alope 	good 	0.txt
121553246 	660248 	Alysia fossulata Provancher, 1889 	good 	0.txt
11378803 	1367144 	Amanita ovoidea 	good 	0.txt
9771736 	4031819 	Amblybatrisus Chandler 2001 	good 	0.txt
8410735 	3015340 	Amphidromus adamsii 	good 	0.txt
415039 	414978 	Amphiphalera 	good 	0.txt
1557387 	1555081 	Amphismittia yoshiwaensis Kawai, Okamoto & Imabayashi, 2002 	good 	0.txt
9068705 	405583 	Amycolatopsis sp. AR1438 	bad 	0.txt
9866583 	591790 	Anaciaeschna moluccana Lieftinck 1930 	good 	0.txt
9335968 	3736968 	Anaptychia himalayaensis D.D. Awasthi 1957 	good 	0.txt
8263457 	2910010 	Anchinoe 	good 	0.txt
9751347 	4014572 	Ancistria brancuccii Burckhardt & Slipinski 	good 	0.txt
8501150 	1304572 	Angraecum florulentum 	good 	0.txt
8348263 	2963890 	Anguina pacificae 	good 	0.txt
9861148 	4102221 	Anisops philippinensis Brooks 1951 	good 	0.txt
9911360 	461255 	Ankaratridium Paulian de Felice 1950 	good 	0.txt
9812006 	4070767 	Anthomyia spiloptera 	good 	0.txt
787827 	785681 	Anthophora plumipes (Pallas, 1772) 	good 	0.txt
2457808 	2454740 	Anthrax punctulata Macquart, 1840 	good 	0.txt
10014583 	2117703 	Antirhea mucronata Urb., 1899 	good 	0.txt
1491440 	1489214 	Antriadophila nubipennis Skuse, 1888 	good 	0.txt
9266350 	3690553 	Aphanostigme costaricensis (F. Stevens) Toro 1952 	good 	0.txt
9064657 	510342 	Aphelinus kurdjumovi 	good 	0.txt
1906800 	1904322 	Apis cunicularia Linnaeus, 1761 	good 	0.txt
9851469 	4092034 	Apolygus ejimai Yasunaga 1991 	good 	0.txt
119936881 	373774 	Aquimarina sp. Aq78 	bad 	0.txt
8830717 	331705 	Araneae sp. BOLD:AAD7095 	bad 	0.txt
8831004 	331705 	Araneae sp. BOLD:AAI1936 	bad 	0.txt
8960494 	331705 	Araneae sp. BOLD:AAN8954 	bad 	0.txt
9790647 	4053739 	Archinamibia Koch C 	good 	0.txt
121523953 	10407790 	Arge geei Rohwer, 1912 	good 	0.txt
9868548 	345325 	Argyrothemis (Atoconeura) Karsch 1899 	good 	0.txt
8341054 	2962548 	Aristolochia nakaoi 	good 	0.txt
11468771 	1186037 	Artemisia cina 	good 	0.txt
9494363 	3862475 	Arthonia cinnabarina f. glabra (A. Massal.) Redinger 1937 	good 	0.txt
8296258 	526461 	Ascidia zara 	good 	0.txt
9784925 	4048258 	Asida (Asida) sabulosa lutosa Solier AJJ 1836 	good 	0.txt
8376280 	360159 	Asphondylia sp. HedFrFkOr109 	good 	0.txt
10072708 	2955821 	Aspicarpa pulchella Griseb. 	good 	0.txt
9401790 	3793529 	Asteridiella acervata var. acervata (Ellis & Everh.) Hansf. 1961 	good 	0.txt
9451640 	3691010 	Asteridiella vilis (Syd. & P. Syd.) Hansf. 1961 	good 	0.txt
9184690 	3631533 	Asteroma solidaginis Cooke 	good 	0.txt
8572335 	1237253 	Astreptosyllis acrassiseta 	good 	0.txt
9183192 	3630235 	Astylospora mammillata Murrill 1918 	good 	0.txt
1550664 	1548443 	Atylomyia albifrons Villeneuve, 1911 	good 	0.txt
9003801 	436564 	Austrarchaea sp. Badja SF 	good 	0.txt
121553480 	12066837 	Austroopius muesebecki Fischer, 1963 	good 	0.txt
8722911 	744338 	Azteca instabilis 	good 	0.txt
8522922 	90129828 	Babesia sp. ex Puma concolor 	bad 	0.txt
9422207 	3808923 	Bacidia naegelii f. vacillans (Nyl.) Zahlbr. 1926 	good 	0.txt
8346505 	360693 	Bacillus sp. 19490 	bad 	0.txt
8716718 	360693 	Bacillus sp. 5.5LF 14P 	bad 	0.txt
119824581 	360693 	Bacillus sp. CH25 	bad 	0.txt
8389456 	360693 	Bacillus sp. CPB 3 	bad 	0.txt
8985770 	360693 	Bacillus sp. LKS-A 	bad 	0.txt
8737014 	360693 	Bacillus sp. LY108 	bad 	0.txt
119908445 	360693 	Bacillus sp. NCCP-79 	bad 	0.txt
8548335 	360693 	Bacillus sp. PB12 	bad 	0.txt
8877182 	360693 	Bacillus sp. SGE84(2010) 	bad 	0.txt
8648239 	3202449 	Bacterium SBOSQ 	bad 	0.txt
9045178 	406098 	Bartonella sp. No.03 	bad 	0.txt
8697077 	406098 	Bartonella sp. TCE004 	bad 	0.txt
9019077 	3079119 	Bat coronavirus M.ful/Japan/04/2010 	bad 	0.txt
7690334 	16214 	Batrachospermum boryanum 	good 	0.txt
452040 	451982 	Bdellamaris 	good 	0.txt
52846178 	10646114 	Bembidion wickhami 	good 	0.txt
8524703 	369138 	Berosus sp. BMNH668156 	bad 	0.txt
8540558 	2679924 	Betulapion simile 	good 	0.txt
9841185 	4085459 	Birrima castanea Goding and Froggatt 1904 	good 	0.txt
9853343 	3239822 	Blesingia Carvalho & Gross 1982 	good 	0.txt
2324706 	2322050 	Boletus lanatus Rostk. 1844 	good 	0.txt
9142622 	3600356 	Boletus validus C. Mart. 1894 	good 	0.txt
121690317 	65253153 	Bombus caeruleus Fabricius, 1804 	good 	0.txt
9847930 	4090255 	Bousaada 	good 	0.txt
9991779 	4212812 	Brachythecium hildebrandii Lesq. 	good 	0.txt
9915362 	378604 	Bradycalanus ScottA 1909 	good 	0.txt
9918456 	4151513 	Brillius Brayer 1952 	good 	0.txt
8779205 	419893 	Brucella sp. FXY47 	bad 	0.txt
10077126 	4283601 	Brunellia brittonii Rusby, 1920 	good 	0.txt
340108 	340097 	Bryopsocidae 	good 	0.txt
396959 	396897 	Bubulcus 	good 	0.txt
8500416 	485250 	Buchnera aphidicola (Rhopalosiphum nymphaeae) 	good 	0.txt
9253005 	3680374 	Bulliardella pulchella Teng 1936 	good 	0.txt
8721974 	419777 	Burkholderia sp. MDIII-T536 	bad 	0.txt
9793137 	4055932 	Byrsax tuberculatus Gravely FH 1915 	good 	0.txt
8636598 	None 	CMVd3 Flexi Vector pFC17K (HaloTag 7) 	bad 	0.txt
375429 	375403 	Caina 	good 	0.txt
11504352 	2571194 	Cairina moschata momelanotus (Domesticated Muscovy duck) 	good 	0.txt
9952243 	453875 	Caldukia Burn & Miller 1969 	good 	0.txt
8443545 	725218 	Calidris ruficollis 	good 	0.txt
11451752 	2635567 	Callicarpa acuminata 	good 	0.txt
9483469 	3856355 	Calycina pallidula (Sacc.) Kuntze 1898 	good 	0.txt
412086 	412031 	Campylostylus 	good 	0.txt
9457761 	2998247 	Candida davisiana Guffogg et al. 	good 	0.txt
8573798 	463065 	Candida sp. A1mMP64 	bad 	0.txt
8734846 	463065 	Candida sp. EN13M22 	bad 	0.txt
8978809 	1045414 	Canoparmelia concrescens 	good 	0.txt
