parsed	has_canonical	has_species	has_author	has_year	hybrid	parser_run	surrogate	has_ignored
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	2	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	True
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	1	True	True
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
False	False	False	False	False	unk	unk	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	True	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	2	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
False	False	False	False	False	unk	unk	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	False	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	False	False	False	False	1	True	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	True	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	False	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
True	True	True	True	False	False	1	unk	False
